"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"135","Claremont Park Playground","E 170 Street & Teller Avenue","Yes","No","Bronx",40.471443,-93.8654043
"136","Clark Playground","3 Avenue, East 144 Street, East 146 Street","Yes","Yes","Bronx",39.9610321,32.9093759
"137","Clement Clark Moore Park","Broadway & 83 Street","Yes","No","Queens",41.1115472,-73.8583806
"138","Clintonville Playground (JHS 194)","Clintonville Street, 17 Road & 17 Avenue","Yes","No","Queens",40.0521783,-83.0092803
"139","Col. Charles Young Playground","West 144 Street & Lenox Avenue","Yes","No","Manhattan",41.628064,-87.6560306
"140","Col. David Marcus Memorial Playground","Ocean Parkway, Avenue P, East 3 Street","Yes","No","Brooklyn",37.6857796,-122.4842166
"141","Coleman Square Playground","Between Cherry & Monroe streets","Yes","No","Manhattan",39.099582,-94.575511
"142","College Point Park","130th Street & 23rd Avenue","Yes","No","Queens",42.6839286,-95.15155
"146","Com. John Barry Park & Playground","South of Flushing Avenue","Yes","No","Brooklyn",40.7018957,-73.9369936
"147","Com. John Barry Park & Playground","South of Flushing Avenue","No","No","Brooklyn",40.7018957,-73.9369936
"148","Com. John Barry Park & Playground (Athletic Area)","South of Flushing Avenue","No","No","Brooklyn",40.7018957,-73.9369936
"149","Comm. Eugene S. Sarsfield Playground","East 38 Street & Ryder Street, Avenue M","Yes","No","Brooklyn",39.8256472,-86.0553456
"150","Coney Island","Brighton 2nd","No","Yes","Brooklyn",39.985252,-104.8202615
"151","Coney Island","W 27 ST.","No","Yes","Brooklyn",36.8756394,-76.2967379
"152","Coney Island","W 33 St.","No","Yes","Brooklyn",34.7527994,-96.7231451
"154","Coney Island Beach","Stillwell Avenue","Yes","Yes","Brooklyn",40.5905519,-73.9840847
"155","Coney Island Beach","West 16th Street","No","Yes","Brooklyn",32.6984846,-114.6504068
"156","Coney Island Beach","W 22 ST.","No","Yes","Brooklyn",41.8463279,-87.9728762
"157","Cooper Park","Sharon, Olive streets, Maspeth & Morgan avenues","Yes","No","Brooklyn",40.7153476,-73.9387012
"159","Corporal John A. Seravalli Playground","Hudson & Horatio streets","Yes","No","Manhattan",42.2528649,-73.790959
"160","Corporal Thompson Park","Broadway, Henderson Avenue","No","No","Staten Island",26.637498,-81.8460826
"161","Corporal Thompson Park/West Brighton Pool","Broadway, Henderson Avenue","No","Yes","Staten Island",26.637498,-81.8460826
"163","Crotona Park (Martin Van Buren Playground)","Crotona East & Claremont Parkway","Yes","No","Bronx",39.1309856,17.0067031
"164","Crotona Park (Playground of the Stars)","Fulton Avenue & Crotona Park South","Yes","No","Bronx",43.2880277,-76.1482738
"165","Crotona Park (Pool House)","173rd Street and Fulton Avenue","Yes","Yes","Bronx",40.8406948,-73.8982441
"166","Crotona Park Environmental Center","Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue","Yes","No","Bronx",39.1309856,17.0067031
"167","Crowley Playground","57 Avenue & 83 Street","Yes","No","Queens",37.548291,-99.0500762
"169","Cunningham Park (210th Street Playground)","210 Street & 73 Avenue","Yes","No","Queens",40.7423761,-95.2234607
"171","Cypress Hills Park","Blake & Euclid avenues","Yes","No","Brooklyn",31.8970099,-92.2413776
"172","Daniel M. O'Connell Playground","113 Avenue & 196 Street","Yes","No","Queens",42.5137113,-86.1297597
"177","Digilio Playground","McDonald Avenue & Avenue F","Yes","No","Brooklyn",40.6235909,-73.9758061
"178","Dimattina Playground","Hicks & Rapelye streets","Yes","No","Brooklyn",31.184905,-93.0159912
"180","Double Nickel Playground","Osborne Street and Preston Avenue","Yes","Yes","Staten Island",40.5374856,-74.1622243
"185","Drew Playground","Fulton Avenue, East 169 Street","Yes","No","Bronx",36.1588636,-95.9157841
"186","Dry Dock Playground","East 10 Street & Szold Place, Avenue D","No","No","Manhattan",37.9187553,-99.4062103
"187","Dugan Playground","Mill Road & Tysens Lane","Yes","No","Staten Island",44.358234,-88.706306
"188","Dutch Kills Playground (PS 112)","Crescent-28 streets, 36 Avenue, 37 Avenue","Yes","No","Queens",41.0377125,28.0179559
"189","Dyckman House Museum","Broadway & West 204 Street","Yes","No","Manhattan",41.1115472,-73.8583806
"191","East Elmhurst Playground (PS 127)","25 Avenue & 98 Street","Yes","Yes","Queens",30.3816076,-89.093147
"192","East River Park (10th Street)","Northern extreme of park","Yes","No","Manhattan",40.142144,-76.964023
"194","East River Park (Track Building)","East 6 Street & FDR Drive","Yes","No","Manhattan",43.9719586,-92.0560338
"196","East Springfield Playground","115 Road between 218 & 219 streets","Yes","No","Queens",43.2982584,-72.0376283
"199","Ederle Comfort Station","Flushing Meadows Corona Park","No","Yes","Queens",40.7397136,-73.840785
"200","Edmonds Playground","DeKalb Avenue, Adelphi Street","Yes","No","Brooklyn",41.9294736,-88.7503647
"201","Electric Playground","164 Street, south of 65 Avenue","Yes","No","Queens",39.9024481,32.9387324
"202","Emerald Playground (PS 200)","164 Street between Jewel & 71 avenues","Yes","No","Queens",61.1540538,-149.9542148
"203","Equity Park","90 Street, 88 & 89 avenues","Yes","No","Queens",38.3475698,-120.7723642
"204","Ethan Allen Playground","New Jersey Avenue & Vermont Street/Worthman","Yes","No","Brooklyn",38.9855357,-74.8226626
"205","Farm Playground","73 Avenue, 195 Street & 196 Place","Yes","No","Queens",39.8251912,33.4858128
"206","Fermi Playground","Troutman Street & Central Avenue","Yes","No","Brooklyn",40.704825,-73.924586
"207","Fisher Pool","32 Avenue, 99 Street","No","No","Queens",49.2243292,-122.9176077
"208","Flushing Fields (Leonardo Ingravallo Playground)","Bayside Avenue, 25 Avenue, 149 to 150 streets","Yes","No","Queens",40.7585569,-73.7654367
"209","Flushing Meadows Corona Park (Albert H. Mauro Playground)","Park Drive East & 73 Terrace","Yes","No","Queens",40.7251204,-73.8277254
"210","Flushing Meadows Corona Park (Lawrence Playground)","College Point Boulevard and Lawrence Street","Yes","No","Queens",40.7903854,-73.8293995
