OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
274,POINT (-73.78719999985469 40.68500000037162),QU,Limited Free,TimeWarner,Baisley Pond Park,Basketball Courts at 116th Ave and Barron St,40.6850000004,-73.7871999999,1043268.57814,188912.085152,,,Queens,
275,POINT (-73.78709999969593 40.67809999961644),QU,Limited Free,TimeWarner,Baisley Pond Park,Track and Field,40.6780999996,-73.7870999997,1043302.42224,186398.290311,,,Queens,
276,POINT (-73.78680000025462 40.672699999652345),QU,Limited Free,TimeWarner,Baisley Pond Park,Playground,40.6726999997,-73.7868000003,1043390.42173,184431.12397,,,Queens,
277,POINT (-73.78590000027498 40.68460000010646),QU,Limited Free,TimeWarner,Baisley Pond Park,Baseball Field at 157th St between Foch Blvd and 116th Ave,40.6846000001,-73.7859000003,1043629.47933,188767.232423,,,Queens,
278,POINT (-73.78520000028864 40.67319999966674),QU,Limited Free,TimeWarner,Baisley Pond Park,Perimeter of park near Cricket Pitch adjacent to pond,40.6731999997,-73.7852000003,1043833.8047,184614.371963,,,Queens,
279,POINT (-73.78480000020879 40.68300000032133),QU,Limited Free,TimeWarner,Baisley Pond Park,Track and Field,40.6830000003,-73.7848000002,1043935.98987,188185.055438,,,Queens,
280,POINT (-73.78470000053956 40.68080000007439),QU,Limited Free,TimeWarner,Baisley Pond Park,Benches,40.6808000001,-73.7847000005,1043965.69486,187383.602317,,,Queens,
281,POINT (-73.78439999948743 40.67929999998444),QU,Limited Free,TimeWarner,Baisley Pond Park,East Entrance of the Park,40.6793,-73.7843999995,1044050.24817,186837.315352,,,Queens,
282,POINT (-73.7841000003706 40.67490000025069),QU,Limited Free,TimeWarner,Baisley Pond Park,Parking Lot,40.6749000003,-73.7841000004,1044137.40876,185234.47899,,,Queens,
283,POINT (-73.7834000005918 40.67819999962231),QU,Limited Free,TimeWarner,Baisley Pond Park,North East of Pond,40.6781999996,-73.7834000006,1044328.6049,186437.239052,,,Queens,
284,POINT (-73.78250000049887 40.67609999987558),QU,Limited Free,TimeWarner,Baisley Pond Park,East of Baisley Pond,40.6760999999,-73.7825000005,1044580.13819,185672.76978,,,Queens,
285,POINT (-73.77670000002175 40.730600000220775),QU,Limited Free,TimeWarner,Cunningham Park,Baseball Field at Union Tpk and 194th St,40.7306000002,-73.7767,1046138.32241,205532.733341,,,Queens,
