num,Name,Location,YearRound,Handicap,Borough,Lat,Lon
206,Fermi Playground,Troutman Street & Central Avenue,Yes,No,Brooklyn,40.704825,-73.924586
207,Fisher Pool,"32 Avenue, 99 Street",No,No,Queens,40.7589344,-73.8694086518065
208,Flushing Fields (Leonardo Ingravallo Playground),"Bayside Avenue, 25 Avenue, 149 to 150 streets",Yes,No,Queens,40.7585569,-73.7654367
209,Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,Yes,No,Queens,40.7251204,-73.8277254
210,Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,Yes,No,Queens,40.7903854,-73.8293995
213,Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,Yes,Yes,Queens,40.7406704,-73.8501755
217,Forest Park (Dry Harbour Playground),80 Street & Myrtle Avenue,Yes,No,Queens,40.7034362,-73.8504128
218,Forest Park (Jackson Pond Playground),108 Street and Park Lane South,Yes,No,Queens,40.7009165,-73.8421344
220,"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,Yes,No,Queens,40.7096359,-73.834812
223,Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,Yes,No,Queens,40.789142,-73.134961
224,"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,Yes,No,Queens,40.700542,-73.8546456
226,Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Yes,Yes,Brooklyn,40.699841,-73.908683
227,Fort Independence Playground,"Stevenson Place, West 238 Street, Sedgwick Avenue",Yes,No,Bronx,40.8816434,-73.8961157
228,Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Yes,Yes,Manhattan,41.1115472,-73.8583806
229,Fort Tryon Park (Café),One Margaret Corbin Drive,No,No,Manhattan,40.8608206,-73.9327696
230,Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Yes,No,Manhattan,40.8158821,-73.9623705
231,Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Yes,Yes,Manhattan,40.8532115,-73.9417566769514
232,Fox Playground,"Avenue H, East 54 to E 55 streets",Yes,Yes,Brooklyn,40.6322222,-73.9238888
233,Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,Yes,No,Queens,40.7955686,-73.8258891
234,Frank D. O'Connor Playground,Broadway & 78 Street,Yes,No,Queens,41.1115472,-73.8583806
235,Frank Golden Park,"132 to 138 streets, 14 Road",Yes,No,Queens,40.78493505,-73.8344713595974
237,Frederick B. Judge Memorial Playground,"111 Avenue, 134 & 135 streets, Lincoln Street",Yes,No,Queens,40.7282239,-73.7948516
238,Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Yes,No,Manhattan,40.7969444,-73.9677777
239,Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Yes,No,Manhattan,40.81720199999999,-73.93910489999999
240,Frederick Johnson Park,"7 Avenue, West 150-151 streets",Yes,No,Manhattan,40.7830603,-73.9712488
241,Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,Yes,No,Queens,40.7341667,-73.796111
244,Galapo Playground,"Bedford Avenue, Gravesend Neck Road",Yes,No,Brooklyn,40.6081026,-73.9481894
245,Garibaldi Playground,82 to 83 Street at 18 Avenue,Yes,No,Brooklyn,40.6090201,-74.0001547794441
246,General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,No,Manhattan,40.7830603,-73.9712488
247,Glenwood Playground,Ralph Avenue & Farragut Road,Yes,Yes,Brooklyn,40.634696,-73.9188247
248,Gorman Playground,30 Avenue between 84 & 85 streets,Yes,No,Queens,40.76238795,-73.8842362690105
249,Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",Yes,No,Bronx,40.8352778,-73.9038888
250,Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,Yes,No,Brooklyn,40.6847463,-73.9882083
252,Gravesend Park,18 Avenue & 56 Street,Yes,No,Brooklyn,40.6235637,-73.984404404921
254,Greene Playground,Greene & Washington avenues,Yes,No,Brooklyn,40.68030295,-73.9853484897914
255,Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,No,Brooklyn,40.6094454,-74.0285434
259,Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",No,No,Queens,40.7325,-73.731111
262,Haggerty Park,202 Street & Jamaica Avenue,No,Yes,Queens,40.71307635,-73.7576773096989
263,Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",Yes,No,Queens,40.7717904,-73.9343288
264,Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Yes,Yes,Manhattan,40.7197972,-73.9808361521585
265,Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",Yes,No,Brooklyn,42.6525793,-73.7562317
266,Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,No,Yes,Queens,40.5831381,-73.8226613
267,Hansborough Recreation Center,35 West 134 Street,Yes,No,Manhattan,40.81283485,-73.9393316565414
268,Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Yes,No,Manhattan,40.7952778,-73.968611
269,Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,Yes,Yes,Queens,40.6647222,-73.8502777
271,Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,Yes,No,Brooklyn,40.6433333,-73.9233332
272,Hart Playground,"37 Avenue, west of 69 Street",Yes,No,Queens,40.7738889,-73.8194443
274,Hattie Carthan Playground,East of Marcy Street,Yes,No,Brooklyn,40.68558165,-73.9460975023821
279,Herman Dolgon Playground,Avenue V & Nostrand Avenue,Yes,No,Brooklyn,40.5972985,-73.9505267
281,High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island,40.58176295,-74.1225547818624
282,High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island,40.58176295,-74.1225547818624
283,High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,Yes,Staten Island,40.58176295,-74.1225547818624
284,High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island,40.58176295,-74.1225547818624
285,Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,No,Manhattan,40.84606425,-73.9297058291312
286,Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,No,Manhattan,40.84606425,-73.9297058291312
287,Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,Manhattan,40.84606425,-73.9297058291312
288,Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,No,Yes,Manhattan,40.7830603,-73.9712488
290,Hoffman Park,Hoffman Drive west of Queens Boulevard,Yes,No,Queens,40.7337976,-73.8721667
291,Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Yes,No,Manhattan,40.8280552,-73.9346918
292,Hollis Playground (JHS 192),205 Street & Hollis Avenue,No,No,Queens,40.7188306,-73.7958167
293,Holy Cow Playground (PS 179),Peck Avenue & Harding Boulevard,No,No,Queens,40.9852219,-73.6771619
294,Hoover Playground,Manton Street & 83 Avenue,Yes,No,Queens,40.7120075,-73.8216889
296,Horseshoe Playground,"Hall Place, Rogers Place, East 165 Street",Yes,No,Bronx,40.8240128,-73.89767739999999
298,Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",Yes,No,Bronx,40.8144125,-73.8868227
300,Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,No,Manhattan,40.87227365,-73.9254269915026
301,Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,No,Manhattan,40.87227365,-73.9254269915026
302,J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Yes,Yes,Manhattan,40.84646605,-73.9413782784613
305,Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,No,Manhattan,40.8259965,-73.9415333334211
306,Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,Yes,No,Manhattan,40.8259965,-73.9415333334211
307,Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Yes,Yes,Manhattan,41.0897353,-73.801493
308,Jackie Robinson Playground,"Sullivan Place & Franklin Avenue, Montgomery Street",Yes,No,Brooklyn,40.6643685,-73.9560187
309,Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",Yes,No,Manhattan,40.8205093,-73.95199975
311,Jesse Owens Playground,Stuyvesant & Lafayette avenues,Yes,Yes,Brooklyn,42.3903615,-73.7815126
312,John Golden Park,"215 Place, south of 32 Avenue",No,Yes,Queens,40.77417655,-73.7681907535477
313,John J. Carty Park,"Fort Hamilton Parkway, 94-95 streets",Yes,No,Brooklyn,40.614814,-74.029402
314,John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,Yes,No,Manhattan,40.7830603,-73.9712488
315,John Paul Jones Park,"Shore Parkway, Fort Hamilton Parkway, 101 Street",Yes,No,Brooklyn,40.6022659,-74.012203
318,Joseph Austin Playground,Grand Central Parkway & 164 Place,Yes,No,Queens,40.7186362,-73.7954966
319,Joseph F. Mafera Park,65 Place & Catalpa Avenue & 68 Avenue,Yes,No,Queens,40.7356231,-73.8999796
320,Julio Carballo Field,"Lafayette Avenue, Manda Street",Yes,No,Bronx,40.8158333,-73.8891666
321,Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,Yes,Yes,Queens,40.7197275,-73.8815697392429
322,Juniper Valley Park (North Playground Tennis),62nd Avenue & 80th Street,Yes,No,Queens,40.7197275,-73.8815697392429
