"","num","Name","Location","YearRound","Handicap","Borough","Lat","Lon","zip"
"189",267,"Hansborough Recreation Center","35 West 134 Street","Yes","No","Manhattan",40.81283485,-73.9393316565414,"10037"
"190",268,"Happy Warrior Playground","West 98 Street & Amsterdam Avenue","Yes","No","Manhattan",40.7952778,-73.968611,"10025"
"191",269,"Harold Schneiderman Playground (PS 232)","155 Avenue & 83 Street","Yes","Yes","Queens",40.6647222,-73.8502777,"11414"
"192",271,"Harry Maze Memorial Park","Avenue D between East 56 & East 57 Street","Yes","No","Brooklyn",40.6433333,-73.9233332,"11234"
"193",272,"Hart Playground","37 Avenue, west of 69 Street","Yes","No","Queens",40.7738889,-73.8194443,"11354"
"194",274,"Hattie Carthan Playground","East of Marcy Street","Yes","No","Brooklyn",40.68558165,-73.9460975023821,"11221"
"195",279,"Herman Dolgon Playground","Avenue V & Nostrand Avenue","Yes","No","Brooklyn",40.5972985,-73.9505267,"11229"
"196",281,"High Rock Park","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,"10306"
"197",282,"High Rock Park (Education Building)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,"10306"
"198",283,"High Rock Park (McArthur Park)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","Yes","Staten Island",40.58176295,-74.1225547818624,"10306"
"199",284,"High Rock Park (Visitor Center)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,"10306"
"200",285,"Highbridge Park (Quisqueya Playground)","West 180 Street & Amsterdam Avenue","Yes","No","Manhattan",40.84606425,-73.9297058291312,"10033"
"201",286,"Highbridge Park (Recreation Center)","West 155 & Dyckman streets, Edgecombe & Amsterdam avenues","Yes","No","Manhattan",40.84606425,-73.9297058291312,"10033"
"202",287,"Highbridge Park (Wallenberg Playground)","West 188 Street & Amsterdam Avenue","Yes","Yes","Manhattan",40.84606425,-73.9297058291312,"10033"
"203",288,"Highbridge Park-Wallenberg Playground","W 189 St & Amsterdam Ave","No","Yes","Manhattan",40.7830603,-73.9712488,"10024"
"204",290,"Hoffman Park","Hoffman Drive west of Queens Boulevard","Yes","No","Queens",40.7337976,-73.8721667,"11373"
"205",291,"Holcombe Rucker","West 155 Street, 8 Avenue to Harlem River Drive","Yes","No","Manhattan",40.8280552,-73.9346918,"10039"
"206",292,"Hollis Playground (JHS 192)","205 Street & Hollis Avenue","No","No","Queens",40.7188306,-73.7958167,"11432"
"207",293,"Holy Cow Playground (PS 179)","Peck Avenue & Harding Boulevard","No","No","Queens",40.9852219,-73.6771619,"10580"
"208",294,"Hoover Playground","Manton Street & 83 Avenue","Yes","No","Queens",40.7120075,-73.8216889,"11415"
