"","Complaint","Lat","Lon"
"1549","Homeless Encampment",40.57937364,-73.99069776
"1550","Homeless Encampment",40.65488243,-73.96188035
"1551","Homeless Encampment",40.82232838,-73.95344544
"1552","Homeless Encampment",40.63779424,-74.02509192
"1553","Homeless Encampment",40.8454299,-73.91397516
"1554","Homeless Encampment",40.61632855,-74.030955
"1555","Homeless Encampment",40.80321651,-73.95253051
"1556","Homeless Encampment",40.70423411,-74.00629366
"1557","Homeless Encampment",40.72972315,-73.95924335
"1558","Homeless Encampment",40.7469304,-73.94112289
"1559","Homeless Encampment",40.80234631,-73.96810968
"1560","Homeless Encampment",40.74753497,-73.98830676
"1561","Homeless Encampment",40.82765774,-73.93968922
"1562","Homeless Encampment",40.70266356,-74.01287915
"1563","Homeless Encampment",40.86267932,-73.90903969
"1564","Homeless Encampment",40.63779424,-74.02509192
"1565","Homeless Encampment",40.74311857,-73.98738729
"1566","Homeless Encampment",40.803897,-73.95203517
"1567","Homeless Encampment",40.72561632,-73.94449701
"1568","Homeless Encampment",40.78229519,-73.96512584
"1569","Homeless Encampment",40.82327993,-73.9256128
"1570","Homeless Encampment",40.72225349,-74.00591295
"1571","Homeless Encampment",40.69628785,-73.99118632
"1572","Homeless Encampment",40.803897,-73.95203517
"1573","Homeless Encampment",40.84168028,-73.93933316
"1574","Homeless Encampment",40.74345077,-73.98819199
"1575","Homeless Encampment",40.78229519,-73.96512584
"1576","Homeless Encampment",40.75219047,-73.9934636
"1577","Homeless Encampment",40.77393258,-73.92165671
"1578","Homeless Encampment",40.76927238,-73.98102116
"1580","Homeless Encampment",40.74376206,-73.90002842
"1581","Homeless Encampment",40.77493408,-73.94476641
"1582","Homeless Encampment",40.79567846,-73.95007997
"1583","Homeless Encampment",40.72834663,-73.9907816
"1584","Homeless Encampment",40.78463255,-73.8363333
"1585","Homeless Encampment",40.78769507,-73.9811423
"1586","Homeless Encampment",40.73795537,-73.8614333
"1587","Homeless Encampment",40.78463255,-73.8363333
"1588","Homeless Encampment",40.74311857,-73.98738729
"1589","Homeless Encampment",40.61562922,-74.02869989
"1590","Homeless Encampment",40.74311857,-73.98738729
"1596","Maintenance or Facility",40.66799506,-73.78675888
"1598","Maintenance or Facility",40.7294941,-74.00697436
"1611","Maintenance or Facility",40.86229717,-73.89841136
"1613","Maintenance or Facility",40.68140972,-73.91417593
"1615","Maintenance or Facility",40.87763881,-73.87738205
"1625","Maintenance or Facility",40.68129694,-73.93471268
"1626","Maintenance or Facility",40.77303286,-73.98219708
"1628","Maintenance or Facility",40.61380375,-74.11337374
"1633","Maintenance or Facility",40.69532292,-73.82284896
"1638","Maintenance or Facility",40.66050954,-73.96281426
"1639","Maintenance or Facility",40.68962075,-73.9731253
"1641","Maintenance or Facility",40.70297039,-73.86824317
"1642","Maintenance or Facility",40.70710995,-74.01396206
"1646","Maintenance or Facility",40.81006558,-73.95496762
"1649","Maintenance or Facility",40.63779424,-74.02509192
"1651","Maintenance or Facility",40.84306331,-73.90953275
"1655","Maintenance or Facility",40.66832794,-73.79626354
"1657","Maintenance or Facility",40.68211584,-73.95366231
"1661","Maintenance or Facility",40.77389847,-73.97326098
"1665","Maintenance or Facility",40.76064303,-73.91099113
"1666","Maintenance or Facility",40.61481384,-74.0294019
"1670","Maintenance or Facility",40.69532292,-73.82284896
"1671","Maintenance or Facility",40.59521127,-73.99238793
"1672","Maintenance or Facility",40.71856898,-73.98339488
"1675","Maintenance or Facility",40.78842026,-73.97076339
"1676","Maintenance or Facility",40.79283012,-73.85185699
"1680","Maintenance or Facility",40.68129694,-73.93471268
"1683","Maintenance or Facility",40.67617418,-73.76542975
"1688","Maintenance or Facility",40.7896149,-73.97360857
"1699","Maintenance or Facility",40.8075392,-73.9351054
"1700","Maintenance or Facility",40.87870229,-73.84228174
"1703","Maintenance or Facility",40.79469732,-73.93636031
"1709","Maintenance or Facility",40.84914926,-73.85201711
"1711","Maintenance or Facility",40.88182113,-73.89637809
"1715","Maintenance or Facility",40.70435215,-74.00610973
"1718","Maintenance or Facility",40.82328483,-73.88760983
"1724","Maintenance or Facility",40.62375922,-73.98552943
"1726","Maintenance or Facility",40.59585666,-74.15676929
"1728","Maintenance or Facility",40.52521674,-74.2214221
"1731","Maintenance or Facility",40.54910523,-74.18046246
"1737","Maintenance or Facility",40.64539746,-73.89358139
"1741","Maintenance or Facility",40.57635434,-74.08751056
"1744","Maintenance or Facility",40.75719623,-73.90826691
"1748","Maintenance or Facility",40.76919821,-73.75283099
"1749","Maintenance or Facility",40.72488035,-74.00261926
"1750","Maintenance or Facility",40.60291566,-74.01074961
"1753","Maintenance or Facility",40.68003065,-73.99224124
"1754","Maintenance or Facility",40.68978521,-73.95486495
"1755","Maintenance or Facility",40.64573309,-74.02041754
"1760","Maintenance or Facility",40.72412013,-73.85561749
"1763","Maintenance or Facility",40.58379746,-73.94147192
"1766","Maintenance or Facility",40.71176566,-73.99232051
"1767","Maintenance or Facility",40.66325631,-73.91491658
"1774","Maintenance or Facility",40.78693995,-73.97928638
"1775","Maintenance or Facility",40.59931454,-73.97290957
"1790","Maintenance or Facility",40.82265137,-73.95129903
"1792","Maintenance or Facility",40.77280007,-73.77885949
"1793","Maintenance or Facility",40.74133709,-73.85932239
"1795","Maintenance or Facility",40.68047676,-73.92227846
